ID,URL,COMMENT,ANNOTATIONS
JidHZjUPGeIb,https://sendvid.com/jdhsheb2,NA,1
jlY81ya1uxzI,https://sendvid.com/yugv3y6w,NA,0
JmnaAbNVz3nl,https://sendvid.com/vxuzf2le,NA,1
JTr7X40BBrhP,https://sendvid.com/303jx82b,NA,0
JvjJL1ie366a,https://sendvid.com/6a7of6et,NA,1
K6iXrKqv7YG2,https://sendvid.com/vdbg26ex,NA,0
K7kOq8ql1BVw,https://sendvid.com/lh0qymu1,NA,1
KAu8c8e4lbDG,https://sendvid.com/u0s2azuk,NA,3
Kef0T1bzWcyp,https://sendvid.com/34nxqqq1,NA,3
kHIl0dyeUCkt,https://sendvid.com/01rhx6f8,NA,1
kiBnNejo0JW0,https://sendvid.com/2vig6yye,NA,1
kISkMn20ifwv,https://sendvid.com/4d6ouus9,NA,1
Kmm034ViQJyl,https://sendvid.com/9pldtwd2,NA,1
KMyt1obG9scS,https://sendvid.com/1my3242k, *inside*,1
KOZwp3W3n68V,https://sendvid.com/9c8n44fx,NA,1
KQ0TpQnsiuCS,https://sendvid.com/jea6oiav,NA,1
kr6uD1TWjlQv,https://sendvid.com/ht122t3h,NA,1
KUWzwIjF44AC,https://sendvid.com/omdaq0gj,NA,1
L581HkTRJuQ1,https://sendvid.com/qcrwk1hk,NA,1
Lap0L50xI3S5,https://sendvid.com/bdnx90oh,NA,1
lbliFG4WqmNj,https://sendvid.com/k35eos1l,NA,1
LD5GrQx0MtsI,https://sendvid.com/r2dkq53z,NA,1
lefVDZuXCGQ6,https://sendvid.com/b45f5n4f,NA,1
lFFk9PXz5bhC,https://sendvid.com/hvz83dtl,NA,1
LhPiDTMhUSGL,https://sendvid.com/sn3kf8cp,NA,1
ljl6PXazsbVv,https://sendvid.com/b3p62f9r,NA,1
lLoZaH6iGNOT,https://sendvid.com/box9gxgv,NA,1
LR1mPrzxmeQv,https://sendvid.com/p1795j6t,NA,1
lTQpQNshDHhK,https://sendvid.com/yzx0vzky,NA,1
LuLFx5NpoK10,https://sendvid.com/p3xxudfw,NA,1
lVKkqagkDm91,https://sendvid.com/mkuk5t63,NA,2
mAeQjkqeA7Up,https://sendvid.com/ytabit1q,NA,0
MgMiCd8EjrVH,https://sendvid.com/ytabit1q,NA,1
MIS1v7mdAmPU,https://sendvid.com/8iqtzai8,NA,1
mLFVFnRzLjic,https://sendvid.com/d0d6mcqm,NA,2
mnp38uv7p0Tz,https://sendvid.com/5nvd86iq,NA,1
mRzp24FtvPAz,https://sendvid.com/bdz408wa,NA,1
MTOmhxigqpaF,https://sendvid.com/oqb263e0,NA,1
mtR54fIOsU8Y,https://sendvid.com/w8bk6mal,NA,2
MVQm0eNzhPVp,https://sendvid.com/3eeuns20,NA,1
mwt1iRwgWYqy,https://sendvid.com/l4vp8f4m,NA,1
mxhCOOkUXgbA,https://sendvid.com/a6fl7diu,NA,1
N1k8H378YLUP,https://sendvid.com/jfhplecg,NA,1
naDQiKfDfv7G,https://sendvid.com/1jszpb2a,NA,1
nCxt12LdrD9a,https://sendvid.com/vdgazj42,NA,1
nf9v20YjxIN6,https://sendvid.com/on7kbcy5,NA,1
NfQdczPVYzb8,https://sendvid.com/ifj8lqsn,NA,1
nH1EL07ukyOE,https://sendvid.com/0sdvkesj,NA,1
nHwELP7CxOl0,https://sendvid.com/895x3yzt,NA,1
NjTHt5oXZv7s,https://sendvid.com/r160ajkv,NA,1
NLbwqxP0yA6f,https://sendvid.com/fpfd6oh7,NA,1
ns9EbTf56zJM,https://sendvid.com/pry1u4f1,NA,1
ntz8J5eFBH6g,https://sendvid.com/7y2y26w0,NA,3
ntz8J5eFBH6g,https://sendvid.com/khyez7o2,NA,3
o6xUbL7Zm7Tf,https://sendvid.com/5kclc7be,NA,4
o6xUbL7Zm7Tf,https://sendvid.com/pwntbmp1,NA,4
oe78jzaih2Fp,https://sendvid.com/aytbmcna,NA,4
oe78jzaih2Fp,https://sendvid.com/vom8bnzd,NA,4
OgrPDRox3rYY,https://sendvid.com/avxll1k7,NA,4
OgrPDRox3rYY,https://sendvid.com/xmuw7ugi,NA,4
oINbKytzEefK,https://sendvid.com/rko6v65e,NA,5
oINbKytzEefK,https://sendvid.com/ts5c2m8s,NA,5
OmJrVOATOxzU,https://sendvid.com/kg5izx5n,NA,1
onVXm7gZrnOG,https://sendvid.com/lnxp8s2d,NA,6
oq0jpbCT651M,https://sendvid.com/lneh3hj3,NA,5
OqD8bxN4Nnkt,https://sendvid.com/05klnk0m,NA,4
oUTz8VjR0TS0,https://sendvid.com/0oql5i1u,NA,2
OwqjIgbC5LCD,https://sendvid.com/tjgram44,NA,4
OYfUeXTfX88D,https://sendvid.com/o0jf284q,NA,5
pF7XCEbbEFZa,https://sendvid.com/5r94b0f4,NA,4
PhBg4kuTHVLi,https://sendvid.com/3i3om36r,NA,4
PI503wb3YSoh,https://sendvid.com/krst2259,NA,4
PI503wb3YSoh,https://sendvid.com/l0issiks,NA,4
pPqRA75aYGRj,https://sendvid.com/nwgrq9ny,NA,3
pQf5uxtLtxH5,https://sendvid.com/4utncewm,NA,2
PwoSeJkaPd5b,https://sendvid.com/bgrj49aq,NA,2
PxBfJc8LQNOq,https://sendvid.com/85uihe1k,NA,3
Q6DY9FC1N3Rp,https://sendvid.com/xw5rhovc,NA,3
Q7J24BNG2mCD,https://sendvid.com/2pr8z2ms,NA,2
Qef9FWcq57B2,https://sendvid.com/3tw1qo00,NA,2
QgPXUnbdhx3q,https://sendvid.com/md3jq16z,NA,3
qGwtu6qUHfjy,https://sendvid.com/uttjyv63,NA,2
QhHQcvLey9wa,https://sendvid.com/py25po0h,NA,2
QjlS1mXfbokU,https://sendvid.com/vx8oxhtp,NA,2
qk0SCeACvdk7,https://sendvid.com/ko7vdpcb,NA,2
QNPHAGgOFQAp,https://sendvid.com/5spm0344,NA,3
Qo3hom0Qb1at,https://sendvid.com/qv9dcyzo,NA,2
qP56A9uC1Nzf,https://sendvid.com/8c47d4fk,NA,2
QPVWWBfaGylL,https://sendvid.com/slfjnnaj,NA,2
QPVWWBfaGylL,https://sendvid.com/slfjnnaj,NA,2
qqB0N0VrBJt2,https://sendvid.com/5xz81vam,NA,2
QrSz0Vfcz3kt,https://sendvid.com/uvpxd2la,NA,2
QsKjvIGPfWKU,https://sendvid.com/nz89jmxa,NA,2
QuamW4hp4JQw,https://sendvid.com/foc9r6lc,NA,2
qVsqMakVxGNP,https://sendvid.com/iv54g80m,NA,1
QxqgND9HYqZb,https://sendvid.com/etni827d,NA,1
qZ4Z9PXxNQ0S,https://sendvid.com/wmyzqb9z,NA,2
r7CBzBlbDAI1,https://sendvid.com/w4p55b3p,NA,1
RBaqoUEvZ7bX,https://sendvid.com/2ky52udo,NA,2
Rc6DVzsHCQh8,https://sendvid.com/b9suwfr5,NA,3
reu60mHQDzBX,https://sendvid.com/v41lzzve,NA,3
REUyWy1tXI22,https://sendvid.com/j5ktvc29,NA,2
rKv1m3cDVn8K,https://sendvid.com/bx4h8x3r,NA,4
rkxKI1heDXZb,https://sendvid.com/zjypugnn,NA,2
rmPZ2rvZSLkM,https://sendvid.com/d5q2p8l9,NA,2
ROFyGFcodhj2,https://sendvid.com/ypiabxxl,NA,2
Rp3qrB15ypiE,https://sendvid.com/brqjzyxq,NA,2
RpS3ATCnUMRu,https://sendvid.com/fo85zggu,NA,2
S3xTtPUyKMam,https://sendvid.com/s8o07rj1,NA,3
seke9fBiFTyF,https://sendvid.com/nwhtli69,NA,2
SHGsCPYkkOFj,https://sendvid.com/xbcetefc,NA,3
SINnkDbJKVVy,https://sendvid.com/jq9ltv9g,NA,2
SjPt47R3IMWH,https://sendvid.com/n15jv4hc,NA,1
skJlzyllttT3,https://sendvid.com/34h504z3,NA,1
sqSMP875Jkmb,https://sendvid.com/cbnpfz44,NA,2
stnyLSVNIG37,https://sendvid.com/bupn7ns5,NA,2
sUCLs52fT3CW,https://sendvid.com/0aip7nwh,NA,1
t4l1G51olUAh,https://sendvid.com/cry537i3,NA,1
T6crwRF3b40U,https://sendvid.com/wi7uei3r,NA,1
TdAjv2eDi3Ep,https://sendvid.com/dtk6t9qw,NA,1
tfjhpJnZ8uOu,https://sendvid.com/qbw1c3aq,NA,1
tIvvSQeMO2zH,https://sendvid.com/tguasmf2,NA,1
TK5675UzIa2n,https://sendvid.com/z5z0fzoq,NA,1
TOEhY6KrDYU3,https://sendvid.com/8qb812hm,NA,1
tXIzFNM5yp9f,https://sendvid.com/rrk95ggu,NA,1
TXMlp22HyR7c,https://sendvid.com/x2n7wwhx,NA,1
TZLDaTO3EbLU,https://sendvid.com/dokcggas,NA,1
U7VsTu7M14LE,https://sendvid.com/72vt3xl2,NA,1
uAKQeDMoSL0c,https://sendvid.com/qzo3a60o,NA,3
UC7nTJ2ha9WM,https://sendvid.com/4obdanhx,NA,1
udvpnvQ3x4To,https://sendvid.com/pspi55mr,NA,0
uJnCqo00NHIl,https://sendvid.com/hixxjxu0,NA,0
UOkSuERIMvZT,https://sendvid.com/y0tg8ysh,NA,0
UPriYin65X3Z,https://sendvid.com/cs10ingb,NA,0
v3L3Z8dRzSnu,https://sendvid.com/slwasal8,NA,0
v86cAAcKaAx7,https://sendvid.com/f44nwz0c,NA,0
VBc81C9bHigX,https://sendvid.com/c6ulez89,NA,0
Vfb7RDCU9APR,https://sendvid.com/4vefgbuo,NA,0
VkFHYXJdaOHA,https://sendvid.com/c6v82z5t,NA,0
vSIv4wwvoemh,https://sendvid.com/6o4ryb8y,NA,0
VVtO7erqIcAG,https://sendvid.com/wg6abbbw,NA,0
vwn5xmDvxfqV,https://sendvid.com/43f9zz0m,NA,0
VYDYrP2y5GPi,https://sendvid.com/za3gfvfd,NA,0
W9d9UvLeBYFu,https://sendvid.com/vplkfb77,NA,0
WaNexB6Lznsq,https://sendvid.com/pl603n13,NA,0
wCbOT5Lhqo7n,https://sendvid.com/2038uw4u, *yelling at cops*,0
wItTIbLfoXBY,https://sendvid.com/4ds5s79h,NA,0
Wm6o3hXiTzPa,https://sendvid.com/4fu8huil,NA,0
WOR0K16Wbi2I,https://sendvid.com/1axtpxh7,NA,0
wQZ0XA36Xpih,https://sendvid.com/2gpiudw5,NA,0
wsRe9EYoao7V,https://sendvid.com/gfsd891g, *breaching doors*,0
WXkILSGX6H82,https://sendvid.com/yxvbiusm,NA,0
WYkjlMj5VqBl,https://sendvid.com/qmf2ik6u,NA,0
x8vmLFDDM1IM,https://sendvid.com/55sayjqs,NA,0
X9301RyNxl2u,https://sendvid.com/s72vtz3s,NA,0
x9k3Cy14CSkF,https://sendvid.com/jfgrccr1,NA,0
XN72wrdt4gqJ,https://sendvid.com/x3akwc3g,NA,1
XNw9fkLnbCLz,https://sendvid.com/l1l3q95d,NA,0
xOGr2U6ve8W1,https://sendvid.com/0xs2u1ip,NA,0
xQzHp0aizbvU,https://sendvid.com/n1k17196,NA,0
xt00juDlyV9n,https://sendvid.com/mxevv334,NA,0
y3ZnJwouF005,https://sendvid.com/9mespfxo,NA,0
yGh7nMgJB7m2,https://sendvid.com/ybjcmvbd,NA,0
Yl9407p2WPZh,https://sendvid.com/8d5lett0,NA,0
yN6bjJ3ztpBm,https://sendvid.com/8wo5ju8l,NA,0
yNE8dnxhV87u,https://sendvid.com/788gbe6e,NA,0
yPG52agghF1w,https://sendvid.com/h072si12,NA,0
z1Dd4eQWsblX,https://sendvid.com/ha4fbwjc,NA,0
Zalcz8BiXAeX,https://sendvid.com/uik6b92c,NA,0
zBLIrh4Yl7XH,https://sendvid.com/032gpu4k,NA,0
zBLIrh4Yl7XH,https://sendvid.com/zv5n92pz,NA,0
ZhHAD9NO8kHg,https://sendvid.com/7kdm4lec,NA,1
ZhHAD9NO8kHg,https://sendvid.com/kqoa35id, *Confrontation with cops*,1
ZHPkLzKWK2Bs,https://sendvid.com/b0h9ef2m,NA,2
ZHPkLzKWK2Bs,https://sendvid.com/f1wt9k96,NA,2
ZHX7ZrxgXRUH,https://sendvid.com/bix3rbvl,NA,2
ZHX7ZrxgXRUH,https://sendvid.com/e16ihum0,NA,2
ZLCE4QPPz3kW,https://sendvid.com/rcl3srce,NA,0
ZLCE4QPPz3kW,https://sendvid.com/wn24gfal,NA,0
ZlcEDu06k1O9,https://sendvid.com/4g17tpxb,NA,1
znHqCskR67k6,https://sendvid.com/xwmbm91u,NA,1
zq269gxmbYsI,https://sendvid.com/v2ojgp96,NA,1
zvhAF87Dreod,https://sendvid.com/4lr6u5mc,NA,1
zXAmZwiG3yfA,https://sendvid.com/iauzyb8q,NA,1
