"SourceFile","ID","CreateDate","Duration","LatitudeDD","LongitudeDD","sDuration","Year","Month","Day","Hour","URL","Working"
"meta-7lZbNvTpYzCg.json","7lZbNvTpYzCg","2021:01:06 13:19:12","12.68 s",38.8891,-77.0368,12.68,2021,1,6,13,"https://video.parler.com/7l/Zb/7lZbNvTpYzCg.mp4",TRUE
"meta-7n9O8ZT8uXvQ.json","7n9O8ZT8uXvQ","2021:01:06 19:16:54","0:00:32",38.8899,-77.0109,32,2021,1,6,19,"https://video.parler.com/7n/9O/7n9O8ZT8uXvQ.mp4",TRUE
"meta-7WJTCduTUKpl.json","7WJTCduTUKpl","2021:01:06 20:21:40","7.86 s",38.8895,-77.0104,7.86,2021,1,6,20,"https://video.parler.com/7W/JT/7WJTCduTUKpl.mp4",TRUE
"meta-8c4mOel34hEc.json","8c4mOel34hEc","2021:01:06 13:40:32","0:00:53",38.8922,-77.0375,53,2021,1,6,13,"https://video.parler.com/8c/4m/8c4mOel34hEc.mp4",TRUE
"meta-8fsC1EfPO70k.json","8fsC1EfPO70k","2021:01:06 19:38:18","15.11 s",38.8898,-77.0082,15.11,2021,1,6,19,"https://video.parler.com/8f/sC/8fsC1EfPO70k.mp4",TRUE
"meta-8L4mcsc4jEmg.json","8L4mcsc4jEmg","2021:01:06 01:48:19","0:00:48",38.903,-77.0364,48,2021,1,6,1,"https://video.parler.com/8L/4m/8L4mcsc4jEmg.mp4",TRUE
"meta-8vAuY7nxkr6M.json","8vAuY7nxkr6M","2021:01:06 22:39:30","14.73 s",38.8905,-77.0121,14.73,2021,1,6,22,"https://video.parler.com/8v/Au/8vAuY7nxkr6M.mp4",TRUE
"meta-8YA6CeYMxHh4.json","8YA6CeYMxHh4","2021:01:06 17:07:48","13.88 s",38.8922,-77.0352,13.88,2021,1,6,17,"https://video.parler.com/8Y/A6/8YA6CeYMxHh4.mp4",TRUE
"meta-8ziKp2FKa3Sb.json","8ziKp2FKa3Sb","2021:01:06 22:10:57","0:02:03",38.8897,-77.0103,123,2021,1,6,22,"https://video.parler.com/8z/iK/8ziKp2FKa3Sb.mp4",TRUE
"meta-99Z6yIaTknNG.json","99Z6yIaTknNG","2021:01:06 21:13:55","7.87 s",38.8896,-77.0103,7.87,2021,1,6,21,"https://video.parler.com/99/Z6/99Z6yIaTknNG.mp4",TRUE
"meta-9bJLFfPeZlk8.json","9bJLFfPeZlk8","2021:01:06 19:45:42","0:01:32",38.8897,-77.0104,92,2021,1,6,19,"https://video.parler.com/9b/JL/9bJLFfPeZlk8.mp4",TRUE
"meta-A1kOgSwRYI8P.json","A1kOgSwRYI8P","2021:01:06 18:34:51","0:01:01",38.8909,-77.0127,61,2021,1,6,18,"https://video.parler.com/A1/kO/A1kOgSwRYI8P.mp4",TRUE
"meta-a40TwAVzrZK8.json","a40TwAVzrZK8","2021:01:06 22:02:30","0:02:19",38.9111,-77.0329,139,2021,1,6,22,"https://video.parler.com/a4/0T/a40TwAVzrZK8.mp4",TRUE
"meta-a6R6xt7VEDuE.json","a6R6xt7VEDuE","2021:01:06 15:43:50","0:01:30",38.8922,-77.035,90,2021,1,6,15,"https://video.parler.com/a6/R6/a6R6xt7VEDuE.mp4",TRUE
"meta-aBf5G5aaPDj9.json","aBf5G5aaPDj9","2021:01:06 16:05:15","0:01:03",38.8906,-77.036,63,2021,1,6,16,"https://video.parler.com/aB/f5/aBf5G5aaPDj9.mp4",TRUE
"meta-aDNmvpzKl90o.json","aDNmvpzKl90o","2021:01:06 01:03:29","0:02:32",38.8962,-77.0318,152,2021,1,6,1,"https://video.parler.com/aD/Nm/aDNmvpzKl90o.mp4",TRUE
"meta-adtV4zbkXr5x.json","adtV4zbkXr5x","2021:01:06 18:55:26","5.60 s",38.8902,-77.0104,5.6,2021,1,6,18,"https://video.parler.com/ad/tV/adtV4zbkXr5x.mp4",TRUE
"meta-ai8AzhEoyrGX.json","ai8AzhEoyrGX","2021:01:06 19:35:43","20.80 s",38.8891,-77.0058,20.8,2021,1,6,19,"https://video.parler.com/ai/8A/ai8AzhEoyrGX.mp4",TRUE
"meta-AmVOZeAY7tjF.json","AmVOZeAY7tjF","2021:01:06 20:01:50","0:00:59",38.8896,-77.0108,59,2021,1,6,20,"https://video.parler.com/Am/VO/AmVOZeAY7tjF.mp4",TRUE
"meta-ATHRnnmNpayv.json","ATHRnnmNpayv","2021:01:06 20:25:42","27.23 s",38.8907,-77.0084,27.23,2021,1,6,20,"https://video.parler.com/AT/HR/ATHRnnmNpayv.mp4",TRUE
"meta-AwME4HLA6vtW.json","AwME4HLA6vtW","2021:01:06 20:52:29","19.86 s",38.8905,-77.009,19.86,2021,1,6,20,"https://video.parler.com/Aw/ME/AwME4HLA6vtW.mp4",TRUE
"meta-AwZ6iEJ07eyx.json","AwZ6iEJ07eyx","2021:01:06 19:42:55","0:00:43",38.8904,-77.0128,43,2021,1,6,19,"https://video.parler.com/Aw/Z6/AwZ6iEJ07eyx.mp4",TRUE
"meta-aYhh5zOFFNcR.json","aYhh5zOFFNcR","2021:01:06 19:21:01","23.23 s",38.892,-77.0116,23.23,2021,1,6,19,"https://video.parler.com/aY/hh/aYhh5zOFFNcR.mp4",TRUE
"meta-AYijYnzI0Gbr.json","AYijYnzI0Gbr","2021:01:06 19:29:38","0:00:49",38.8899,-77.0072,49,2021,1,6,19,"https://video.parler.com/AY/ij/AYijYnzI0Gbr.mp4",TRUE
"meta-AzVSx3ypAHRi.json","AzVSx3ypAHRi","2021:01:06 14:15:20","0:01:39",38.8915,-77.0363,99,2021,1,6,14,"https://video.parler.com/Az/VS/AzVSx3ypAHRi.mp4",TRUE
"meta-b0gyazQqn9kx.json","b0gyazQqn9kx","2021:01:06 19:06:45","19.25 s",38.8897,-77.011,19.25,2021,1,6,19,"https://video.parler.com/b0/gy/b0gyazQqn9kx.mp4",TRUE
"meta-b0s87hxTGufb.json","b0s87hxTGufb","2021:01:06 17:55:17","16.31 s",38.8912,-77.0132,16.31,2021,1,6,17,"https://video.parler.com/b0/s8/b0s87hxTGufb.mp4",TRUE
"meta-b5lCVIHnrm2q.json","b5lCVIHnrm2q","2021:01:06 19:11:46","0:00:41",38.89,-77.0104,41,2021,1,6,19,"https://video.parler.com/b5/lC/b5lCVIHnrm2q.mp4",TRUE
"meta-B7yh3YgnbcFT.json","B7yh3YgnbcFT","2021:01:06 21:07:42","13.23 s",38.89,-77.0106,13.23,2021,1,6,21,"https://video.parler.com/B7/yh/B7yh3YgnbcFT.mp4",TRUE
"meta-bCkOoiJFTH0C.json","bCkOoiJFTH0C","2021:01:06 15:36:40","25.05 s",38.8942,-77.0334,25.05,2021,1,6,15,"https://video.parler.com/bC/kO/bCkOoiJFTH0C.mp4",TRUE
"meta-BKSLTTzLt0u2.json","BKSLTTzLt0u2","2021:01:06 16:55:10","0:00:43",38.8912,-77.0363,43,2021,1,6,16,"https://video.parler.com/BK/SL/BKSLTTzLt0u2.mp4",TRUE
"meta-BnoDFbldwdly.json","BnoDFbldwdly","2021:01:06 20:10:22","25.39 s",38.8899,-77.0103,25.39,2021,1,6,20,"https://video.parler.com/Bn/oD/BnoDFbldwdly.mp4",TRUE
