SourceFile;ID;CreateDate;Duration;Latitude;Longitude;LatitudeDD;LongitudeDD;sDuration;Year;Month;Day;Hour;Working;URL;Contents;
meta-c8OcZF1R9C8W.json;c8OcZF1R9C8W;2021:01:06 18:20:07;22.50 s;"38 deg 53' 29.76"" N";"77 deg 1' 5.88"" W";38.8916;-77.0183;22.5;2021;1;6;18;TRUE;https://video.parler.com/c8/Oc/c8OcZF1R9C8W.mp4;;
meta-c9JUtuCVndZf.json;c9JUtuCVndZf;2021:01:06 19:59:41;11.40 s;"38 deg 53' 24.00"" N";"77 deg 0' 34.92"" W";38.89;-77.0097;11.4;2021;1;6;19;FALSE;https://video.parler.com/c9/JU/c9JUtuCVndZf.mp4;;
meta-CBjQ5bkcprs4.json;CBjQ5bkcprs4;2021:01:06 19:24:58;0:00:34;"38 deg 53' 29.76"" N";"77 deg 0' 45.00"" W";38.8916;-77.0125;34;2021;1;6;19;TRUE;https://video.parler.com/CB/jQ/CBjQ5bkcprs4.mp4;;
meta-CBqleP9b5ei1.json;CBqleP9b5ei1;2021:01:06 16:32:43;16.91 s;"38 deg 53' 31.56"" N";"77 deg 2' 12.48"" W";38.8921;-77.0368;16.91;2021;1;6;16;FALSE;https://video.parler.com/CB/ql/CBqleP9b5ei1.mp4;;
meta-CC0iavGPRx9W.json;CC0iavGPRx9W;2021:01:06 16:33:54;0:00:50;"38 deg 53' 31.20"" N";"77 deg 2' 9.96"" W";38.892;-77.0361;50;2021;1;6;16;FALSE;https://video.parler.com/CC/0i/CC0iavGPRx9W.mp4;;
meta-Cc1sJwp9vtSG.json;Cc1sJwp9vtSG;2021:01:06 19:03:57;0:02:12;"38 deg 53' 22.92"" N";"77 deg 0' 51.84"" W";38.8897;-77.0144;132;2021;1;6;19;FALSE;https://video.parler.com/Cc/1s/Cc1sJwp9vtSG.mp4;;
meta-CCpdypA06UDd.json;CCpdypA06UDd;2021:01:06 17:00:26;5.70 s;"38 deg 53' 26.16"" N";"77 deg 2' 12.48"" W";38.8906;-77.0368;5.7;2021;1;6;17;FALSE;https://video.parler.com/CC/pd/CCpdypA06UDd.mp4;;
meta-cDQaoCt4Nqsr.json;cDQaoCt4Nqsr;2021:01:06 22:08:15;0:04:15;"38 deg 53' 21.48"" N";"77 deg 1' 1.92"" W";38.8893;-77.0172;255;2021;1;6;22;TRUE;https://video.parler.com/cD/Qa/cDQaoCt4Nqsr.mp4;;
meta-CdZE4mF5ht43.json;CdZE4mF5ht43;2021:01:06 20:52:56;7.51 s;"38 deg 53' 22.56"" N";"77 deg 0' 35.28"" W";38.8896;-77.0098;7.51;2021;1;6;20;FALSE;https://video.parler.com/Cd/ZE/CdZE4mF5ht43.mp4;;
meta-CE7LhOl22vJ9.json;CE7LhOl22vJ9;2021:01:06 19:06:28;14.33 s;"38 deg 53' 24.00"" N";"77 deg 0' 27.36"" W";38.89;-77.0076;14.33;2021;1;6;19;TRUE;https://video.parler.com/CE/7L/CE7LhOl22vJ9.mp4;;
meta-Cg3gG8trkats.json;Cg3gG8trkats;2021:01:06 19:42:21;0:00:32;"38 deg 53' 24.00"" N";"77 deg 0' 27.00"" W";38.89;-77.0075;32;2021;1;6;19;TRUE;https://video.parler.com/Cg/3g/Cg3gG8trkats.mp4;;
meta-CgZxY8PDNM9m.json;CgZxY8PDNM9m;2021:01:06 21:00:10;0:01:02;"38 deg 53' 23.64"" N";"77 deg 0' 37.08"" W";38.8899;-77.0103;62;2021;1;6;21;TRUE;https://video.parler.com/Cg/Zx/CgZxY8PDNM9m.mp4;;
